X,Y,businessunit_number,businessunit_name,postal_code
-95.4954279999999,29.6744360000001,5094,"HOUSTON (BRAESWOOD), TX",77096
-72.7135519999999,41.739808,5095,"HARTFORD, CT",06106
-116.384743,33.798211,5096,"PALM DESERT (C.CITY), CA",92211
-83.969544,43.4897960000001,5097,SAGINAW MI,48604
-88.162311,30.649576,5098,"MOBILE (UNIVERSITY), AL",36609
-108.581664,39.0762570000001,5099,GRAND JUNCTION (W) CO,81505
-91.945748,38.864222,51,FULTON MO,65251
-83.8505289999999,34.291749,510,GAINESVILLE GA,30504
-86.684501,33.6373980000001,5100,"CENTER POINT (20TH), AL",35215
-115.994849,36.2149870000001,5101,PAHRUMP NV,89048
-90.053773,29.913373,5102,GRETNA WESTBANK EXPY LA,70053
-75.099474,40.031617,5103,PHILADELPHIA (NE) PA,19124
-84.201791,39.7113410000001,5104,KETTERING OH,45439
-78.187744,38.960135,5105,"FRONT ROYAL, VA",22630
-81.209084,28.6133620000001,5106,OVIEDO FL,32765
-86.714018,36.2639810000001,5107,NASHVILLE (GALLATIN) TN,37115
-106.282978,31.7832680000001,5108,"EL PASO (PEBBLE HILL), TX",79936
-111.988938,40.6706090000001,5109,"WEST VALLEY CITY (3), UT",84120
-80.389602,33.960088,511,SUMTER SC,29150
-111.852489,40.5267380000001,5110,DRAPER (1300/12300) UT,84020
-74.424831,40.637931,5111,WATCHUNG NJ,07069
-86.277232,33.6093930000001,5113,"PELL CITY, AL",35125
-90.622671,41.557447,5115,DAVENPORT (W) IA,52806
-95.100045,29.666925,5116,LA PORTE TX,77571
-78.933084,38.0678310000001,5117,WAYNESBORO VA,22980
-78.777768,35.912243,5118,RALEIGH NC,27617
-86.7455869999999,36.0421850000001,5119,NASHVILLE (EDMONDSON) TN,37211
-106.339943,31.753271,512,EL PASO TX,79935
-89.8627769999999,35.069956,5122,MEMPHIS (MT. MORIAH) TN,38115
-104.725382,38.9426920000001,5123,COLORADO SPGS (NE) CO,80920
-112.179904,33.551186,5124,"GLENDALE (MAINSTEE), AZ",85301
-92.086331,30.5088950000001,5125,OPELOUSAS SOUTH LA,70570
-85.712618,34.1628850000001,5126,CENTRE AL,35960
-91.213581,43.766399,5127,"LACROSSE (S), WI",54601
-76.907956,38.9428750000001,5129,"LANDOVER HILLS, MD EF",20784
-101.467741,32.2278680000001,513,BIG SPRINGS TX,79720
-75.0226029999999,40.0830120000001,5130,"PHILADELPHIA-BU-, PA",19114
-74.967566,40.136561,5131,"BENSALEM, PA",19053
-81.278136,28.648605,5132,"ORLANDO, FL",32708
-122.289588,40.4313090000001,5133,"ANDERSON, CA",96007
-119.095393,35.308793,5134,"BAKERSFIELD (SW), CA",93313
-85.9147639999999,37.7998690000001,5135,RADCLIFF KY,40160
-121.574284,39.1272250000001,5136,MARYSVILLE CA,95901
-104.704719,39.6063060000001,5137,"AURORA (SE), CO",80016
-121.820361,38.4719270000001,5139,DIXON CA,95620
-81.719602,33.518172,514,AIKEN SC,29803
-117.009202,32.7776050000001,5140,LA MESA CA  EF,91942
-96.180131,41.294744,5141,"OMAHA (NW), NE",68116
-74.0851749999999,40.225019,5142,NEPTUNE NJ,07753
-85.149166,35.0054410000001,5143,CHATTANOOGA TN,37421
-98.325091,29.4979650000001,5144,SAN ANTONIO (NE) TX,78109
-98.537728,29.487893,5145,SAN ANTONIO (VJ) TX,78213
-98.633356,29.5187770000001,5146,"SAN ANTONIO, TX",78250
-96.897331,32.7625780000001,5147,DALLAS (W) TX,75211
-86.464672,35.867106,5148,MURFREESBORO MANSON PK TN,37128
-94.269688,39.037657,5149,BLUE SPRINGS DUNCAN MO,64014
-84.005569,35.1085610000001,515,MURPHY NC,28906
-90.330926,38.6215920000001,5150,"MAPLEWOOD, MO",63143
-85.1303819999999,34.2213310000001,5151,"ROME (S), GA",30161
-118.625264,34.1881220000001,5152,WEST HILLS CA,91307
-106.510052,31.8057440000001,5153,"EL PASO (UTEP), TX",79901
-118.085476,34.050394,5154,"ROSEMEAD, CA",91770
-106.785494,32.288437,5155,LAS CRUCES (SW) NM,88005
-116.951658,33.9251160000001,5156,"BEAUMONT, CA",92223
-89.461783,40.630189,5157,"MORTON, IL",61550
-84.229305,44.253651,5159,"WEST BRANCH, MI",48661
-96.135307,32.3330730000001,516,"GUN BARREL CITY, TX",75156
-84.4345709999999,42.249781,5160,JACKSON (W) MI,49202
-118.576009,34.4440750000001,5162,"SANTA CLARITA (W), CA",91355
-98.131375,26.1910810000001,5165,"ALAMO, TX",78516
-107.747058,32.2705580000001,5166,DEMING NM,88030
-111.756447,40.027675,5167,PAYSON UT,84651
-112.084723,38.7483810000001,5168,"RICHFIELD, UTAH",84701
-94.128634,36.3526790000001,5169,Pharmacy Central 1,72756
-97.705204,35.393672,517,MUSTANG OK,73064
-102.944711,41.1167520000001,5170,SIDNEY NE,69162
-83.580078,30.1020330000001,5172,PERRY FL,32348
-84.998972,34.7867120000001,5173,DALTON (W) GA,30720
-88.229522,30.7617990000001,5174,SEMIMES AL,36575
-85.459411,36.1858960000001,5175,ALGOOD TN,38506
-74.562425,40.907387,5178,ROCKAWAY NJ,07866
-81.275996,28.540487,5179,ORLANDO FL,32825
-84.461362,34.2554960000001,518,CANTON GA,30114
-94.665453,38.940754,5180,"OVERLAND PARK, KS",66212
-86.447192,35.8142120000001,5182,MURFREESBORO CASON LANE TN,37128
-85.564273,38.189687,5183,"LOUISVILLE, KY",40299
-82.824082,39.8522140000001,5184,CANA WINCHESTER OH,43110
-83.120536,39.9269570000001,5185,COLUMBUS WSW OH,43228
-111.741112,33.3050470000001,5186,"GILBERT (E), AZ",85295
-85.189568,35.187195,5188,CHATTANOOGA MIDDLE VALLEY TN,37343
-112.172642,33.4967990000001,5189,PHOENIX (MARYVALE) AZ,85031
-84.844345,37.7427450000001,519,HARRODSBURG KY,40330
-112.112973,33.7083490000001,5190,PHOENIX (HAPPY VALLEY) AZ,85085
-96.445661,32.745301,5191,"FORNEY, TX",75126
-121.331861,38.7043180000001,5192,"ANTELOPE (E), CA",95842
-117.181887,33.9358270000001,5193,"MORENO VALLEY, CA",92555
-122.255812,47.894532,5195,"EVERETT (W), WA",98204
-90.0277359999999,35.004961,5196,"MEMPHIS (ELVIS/HOLMES),TN",38116
-86.485439,34.6576410000001,5197,"HUNTSVILLE (E),AL",35763
-83.504049,31.4713760000001,5198,TIFTON GA,31794
-88.064689,42.4690210000001,5199,"ANTIOCH, IL",60002
-93.089402,34.490984,52,HOT SPRINGS AR,71913
-83.756676,33.989991,520,WINDER GA,30680
-76.325097,40.073674,5200,"LANCASTER, PA",17601
-74.376382,40.531981,5201,"EDISON, NJ",08817
-73.289495,40.811786,5202,"COMMACK, NY",11725
-83.429343,39.908987,5203,"LONDON, OH",43140
-93.679174,32.479497,5204,BOSSIER CITY LA,71112
-111.940474,41.0998910000001,5205,"LAYTON, UT",84040
-111.938488,41.1522110000001,5206,"SOUTH OGDEN, UT",84405
-94.668832,38.965741,5207,OVERLAND PARK KS,66212
-93.179569,30.2688010000001,521,MOSS BLUFF LA,70601
-96.511498,33.0249460000001,5210,"WYLIE, TX",75098
-96.682516,33.1562260000001,5211,MCKINNEY (SW) TX,75070
-78.559264,35.766487,5212,RALEIGH POOLE NC,27603
-81.5883459999999,28.330027,5214,ORLANDO LAKE WILSON FL,34747
-119.248053,35.7439830000001,5215,"DELANO, CA",93215
-101.907764,35.212362,5216,"AMARILLO, (NW) TX",79106
-82.682247,27.736234,5218,"ST. PETERSBURG, FL",33711
-95.309818,38.9733790000001,5219,"LAWRENCE, KS",66049
-95.065152,29.8943350000001,522,CROSBY TX,77532
-82.506787,28.0226050000001,5220,TAMPA (DM WATERS) FL,33614
-82.457714,28.0320560000001,5221,TAMPA FL,33604
-98.565803,29.5744770000001,5224,SAN ANTONIO DEZEVALA TX,78249
-98.670902,29.4597650000001,5226,SAN ANTONIO MILITARY DR. WEST TX,78251
-77.2998469999999,38.789179,5227,"BURKE, VA",22015
-76.819756,39.1957790000001,5228,"COLUMBIA, MD",21045
-75.1686329999999,40.082145,5229,WYNCOTE PA,19095
-94.368603,32.1689940000001,523,CARTHAGE TX,75633
-121.304693,38.2896930000001,5231,"GALT, CA",95632
-107.767944,39.524841,5232,"RIFLE, CO",81650
-112.026519,40.6357170000001,5233,"WEST VALLEY CITY (S), UT",84118
-112.060877,41.137418,5234,"CLINTON, UT",84015
-111.859477,40.585335,5235,"SANDY (E), UT",84094
-86.484034,36.986766,5236,BOWLING GREEN (NW) KY,42101
-75.6304919999999,40.351161,5239,"BECHTELSVILLE, PA",19505
-97.864278,28.834523,524,KENEDY TX,78119
-76.513974,42.4276990000001,5240,"ITHACA, NY",14850
-79.6863079999999,40.3164760000001,5241,"NORTH HUNTINGDON, PA",15642
-76.1174819999999,43.161056,5242,CICERO NY,13039
-92.485983,34.809468,5244,"LITTLE ROCK (NW), AR",72223
-98.433479,29.3482490000001,5245,SAN ANTONIO (BROOKS) TX,78223
-96.124534,29.3285720000001,5246,"WHARTON, TX",77488
-97.217094,33.0138240000001,5247,"ROANOKE, TX",76262
-87.573611,33.2397060000001,5248,Tuscaloosa N AL,35476
-81.304091,28.7845120000001,525,SANFORD SR 46A FL,32746
-81.448001,28.142528,5250,KISSIMMEE FL,34759
-85.205118,35.008343,5251,"CHATTANOOGA (E.RIDGE), TN",37411
-83.9111369999999,33.840987,5252,LOGANVILLE GA,30052
-76.3092359999999,36.721077,5253,"CHESAPEAKE (SW), VA",23322
-78.5349669999999,35.9524960000001,5254,"WAKE FOREST, NC",27587
-82.5985689999999,28.006376,5255,TAMPA (ELLIOT) FL,33615
-87.4824609999999,33.169989,5256,Tuscaloosa E AL,35405
-111.720591,33.4240310000001,5257,MESA AZ,85205
-115.224016,36.2405150000001,5258,"LAS VEGAS, NV",89130
-115.226056,36.194626,5259,"LAS VEGAS, NV",89108
-85.5457959999999,38.300128,526,"LOUISVILLE (NE), KY",40241
-94.151181,36.2788170000001,5260,ROGERS (SOUTH) AR,72758
-94.277866,36.507906,5261,"PINEVILLE, MO",64856
-86.7911809999999,33.340851,5262,"PELHAM(N), AL",35124
-84.868797,35.1254430000001,5263,CLEVELAND (S) TN,37323
-82.486124,27.193095,5264,"OSPREY, FL",34229
-81.293842,28.2228210000001,5265,SAINT CLOUD CANOE CREEK FL,34772
-82.696041,28.340611,5266,"NEW PORT RICHEY(NW),FL",34667
-83.444484,33.943652,5267,Athens Atlanta Hwy GA,30606
-115.152603,36.0146090000001,5269,"LAS VEGAS, NV",89183
-95.435914,29.184105,527,ANGLETON TX,77515
-111.731817,40.3484990000001,5270,LINDON UT,84042
-122.662632,47.757163,5272,"POULSBO, WA",98370
-123.134232,48.0801290000001,5273,"SEQUIM, WA",98382
-157.974452,21.3971740000001,5274,"HONOLULU (MANANA), HI",96782
-84.584466,34.112876,5275,WOODSTOCK (W) GA,30189
-88.017849,42.1378570000001,5276,"PALATINE, IL",60074
-72.573898,42.1724070000001,5278,CHICOPEE MA,01020
-80.239456,33.0120860000001,5279,Summerville SC,29483
-82.5273329999999,27.4496760000001,528,"BRADENTON, FL",34203
-85.599999,42.194821,5280,"PORTAGE, MI",49024
-74.293504,40.536074,5281,"WOODBRIDGE, NJ",07095
-77.6435539999999,43.2396880000001,5282,GREECE (E) NY,14616
-81.3291629999999,40.833989,5285,CANTON (NE) OH,44705
-97.547565,35.565033,5286,"THE VILLAGE, OK",73120
-95.512681,30.077386,5287,"SPRING, TX",77379
-96.534025,32.6499180000001,5288,"SEAGOVILLE, TX",75159
-95.037628,29.4020360000001,529,TEXAS CITY TX,77568
-98.679617,29.4170360000001,5290,SAN ANTONIO ELLISON & MARBACH TX,78245
-81.1690579999999,33.943928,5291,West Columbia Barnwell SC,29170
-78.5601589999999,35.800912,5292,"RALEIGH (E), NC",27610
-73.7267219999999,40.660941,5293,VALLEY STREAM NY,11581
-73.031472,41.238029,5294,MILFORD CT,06460
-73.420396,40.726881,5295,"FARMINGDALE (LI) HD, NY",11735
-82.256498,38.4219440000001,5296,"BARBOURSVILLE, WV",25504
-85.64421,38.2536690000001,5297,"SAINT MATTHEWS, KY",40207
-81.226489,35.260797,5298,GASTONIA NC,28052
-81.672532,28.355155,5299,ORLANDO FL,34714
-92.668684,33.2419370000001,530,"EL DORADO, AR",71730
-82.354361,27.8473040000001,5300,"GIBSONTON, FL",33534
-80.109045,26.693816,5301,WEST PALM BEACH FL,33406
-112.486112,34.565612,5303,"PRESCOTT (W), AZ",86305
-111.772923,33.380389,5304,"MESA-BASELINE, AZ",85204
-117.083014,32.606887,5305,CHULA VISTA CA,91911
-115.181652,36.2603770000001,5306,"LAS VEGAS, NV",89031
-94.893061,38.8089120000001,5307,GARDNER KS,66030
-94.713426,38.994557,5308,"KANSAS CITY, KS",66203
-82.223781,41.266577,5309,OBERLIN OH,44074
-92.078525,30.1871390000001,531,LAFAYETTE LA (W),70506
-90.9572229999999,30.2847090000001,5310,PRAIRIEVILLE LA,70769
-96.7356109999999,33.2167690000001,5311,"MCKINNEY (NW), TX",75071
-97.292333,32.7747680000001,5312,FT WORTH (121) TX,76111
-90.786615,38.7723980000001,5313,LAKE ST. LOUIS MO,63367
-97.5279159999999,35.4214220000001,5314,"OKLAHOMA CITY (44), OK",73109
-81.41502,28.428101,5315,HW SPECIALTY PHARMACY,32837
-97.3870209999999,32.8825790000001,5316,SAGINAW TX,76179
-97.790517,30.1650680000001,5317,AUSTIN (S) TX,78748
-81.222451,37.7542570000001,5319,"MACARTHUR, WV",25873
-90.908933,30.2353420000001,532,GONZALES LA,70737
-79.7996929999999,36.002285,5320,GREENSBORO (SE) NC,27406
-81.906145,26.5550410000001,5321,"FORT MYERS (COL-MAC), FL",33919
-97.5131459999999,35.3335460000001,5323,Oklahoma City Santa Fe & 134Th OK,73170
-80.2030559999999,26.237493,5325,MARGATE FL,33063
-82.276131,29.0565810000001,5326,OCALA (SW) FL,34481
-91.077884,30.431024,5327,"BATON ROUGE (HAMMOND), LA",70816
-91.0206209999999,30.409498,5328,BATON ROUGE(COURSEY) LA,70817
-112.154936,33.869578,5329,"PHOENIX, AZ",85086
-91.815457,29.986187,533,NEW IBERIA LA,70560
-112.132538,33.5268770000001,5330,"PHOENIX, AZ",85017
-112.223189,33.420402,5331,PHOENIX TOLLESON AZ,85043
-111.814641,33.452481,5332,MESA AZ,85203
-104.774366,39.761672,5334,AURORA (DIA) CO,80011
-115.545833,32.962431,5335,BRAWLEY CA,92227
-95.978308,36.003161,5336,Jenks Elm OK,74037
-119.695785,36.8397650000001,5337,CLOVIS (N) CA,93611
-117.164952,32.8295430000001,5338,"SAN DIEGO, CA EF",92111
-79.888924,40.4883370000001,5339,"PITTSBURGH, PA",15238
-75.0446269999999,39.938592,5340,CHERRY HILL NJ,08002
-105.136207,39.925869,5341,BROOMFIELD FLLRONS CO,80021
-114.647261,32.681582,5342,YUMA (W) AZ,85364
-77.508998,38.2370980000001,5343,"FREDERICKSBURG, VA",22407
-76.580363,39.395207,5344,TOWSON MD,21286
-76.656934,38.722477,5345,DUNKIRK MD,20754
-79.273316,36.066879,5346,MEBANE NC,27302
-81.8167979999999,26.4509650000001,5347,FORT MYERS FL,33928
-86.268184,32.3707830000001,5348,"MONTGOMERY (C), AL",36107
-111.654204,33.3630170000001,5349,"MESA, AZ",85212
-99.781697,32.410829,535,ABILENE TX (S),79606
-111.863553,40.669882,5350,"SALT LAKE CITY, UT",84117
-88.3457979999999,41.8637580000001,5352,BATAVIA IL,60510
-95.4059819999999,30.064353,5353,Spring Aldine Westfield TX,77373
-83.5838469999999,40.657293,5355,KENTON OH,43326
-79.226641,40.4425190000001,5356,BLAIRSVILLE PA,15717
-77.497937,40.0623210000001,5358,SHIPPENSBURG PA,17257
-97.546293,32.9042260000001,5359,AZLE TX,76020
-99.698064,32.480892,536,ABILENE TX (N),79601
-79.698841,41.6333460000001,5360,"TITUSVILLE, PA",16354
-96.114346,41.214792,5361,"OMAHA, NE",68137
-84.3256029999999,33.442598,5363,"HAMPTON, GA",30250
-97.049482,36.145608,5364,STILLWATER LAKEVIEW OK,74075
-80.673921,28.1713290000001,5365,"MELBOURNE, FL",32935
-80.623263,28.055305,5366,"MELBOURNE, FL",32901
-78.9044489999999,33.673434,5367,MYRTLE BEACH 17TH AVE SC,29577
-122.995675,44.9140650000001,5368,"SALEM (C), OR",97302
-112.395288,33.4595580000001,5369,"GOODYEAR, AZ",85338
-102.332153,31.8956440000001,537,ODESSA TX,79762
-105.098807,40.2051530000001,5370,"LONGMONT (N), CO",80504
-82.293423,34.7227980000001,5371,SIMPSONVILLE SC,29680
-87.508809,37.9583240000001,5372,"EVANSVILLE, IN",47714
-91.421907,44.883539,5373,"CHIPPEWA FALLS, WI",54729
-84.6334179999999,39.7679690000001,5374,EATON OH,45320
-83.5043709999999,44.277721,5376,"TAWAS CITY, MI",48763
-81.073909,33.9772150000001,5378,WEST COLUMBIA CHARLESTON HWY,29033
-79.607615,40.0042350000001,5379,"CONNELLSVILLE, PA",15425
-82.356612,29.708535,538,GAINESVILLE FL,32653
-80.023516,40.338922,5381,"BETHEL PARK, PA",15102
-76.587172,39.1271340000001,5382,"PASADENA, MD",21122
-80.369901,33.938563,5383,SUMTER BULTMAN DR SC,29150
-75.208916,39.4666920000001,5384,"BRIDGETON, NJ",08302
-84.364403,41.3053180000001,5385,"DEFIANCE, OH",43512
-86.216643,43.0356090000001,5386,"GRAND HAVEN, MI",49417
-81.085431,41.458739,5387,"MIDDLEFIELD, OH",44062
-95.0898109999999,29.4701870000001,5388,"LEAGUE CITY (HWY 646), TX",77573
-97.214281,31.4934960000001,5389,WACO (WOODWAY) TX,76712
-92.4519079999999,31.2786170000001,539,ALEXANDRIA LA,71301
-84.5216129999999,33.945768,5390,"MARIETTA (TRADE CTR), GA",30060
-81.745555,26.270837,5391,NAPLES (I-75) FL,34109
-82.364662,31.786216,5392,"BAXLEY, GA",31513
-79.770687,36.040177,5393,GREENSBORO ALAMANCE CHURCH,27406
-119.402385,36.543418,5394,DINUBA CA,93618
-123.051339,44.6270890000001,5396,ALBANY OR,97322
-91.617534,44.0329090000001,5397,"WINONA, MN",55987
-89.113867,42.3130610000001,5398,"ROCKFORD(W), IL",61101
-89.4717209999999,41.8274420000001,5399,DIXON IL,61021
-94.146938,36.166213,54,SPRINGDALE AR,72764
-91.2672909999999,29.6835390000001,540,"MORGAN CITY, LA",70380
-87.742854,41.911731,5402,CHICAGO (W) IL,60639
-88.159385,40.111637,5403,URBANA IL,61802
-87.640191,41.5698330000001,5404,HOMEWOOD IL,60430
-86.119182,39.711038,5408,"INDIANAPOLIS, IN",46227
-84.334829,39.856303,5409,ENGLEWOOD OH,45315
-90.0787559999999,30.443253,541,COVINGTON LA,70433
-81.4221659999999,40.7940980000001,5410,"CANTON(C), OH",44708
-85.078525,42.942952,5411,IONIA MI,48846
-74.179298,39.858682,5414,FORKED RIVER NJ,08734
-97.095548,32.7509430000001,5416,ARLINGTON (N) TX,76011
-85.7798779999999,38.128945,5417,"LOUISVILLE, KY",40214
-85.667473,38.1991760000001,5418,"LOUISVILLE (BASHFORD), KY",40218
-89.9687259999999,34.822373,5419,"HERNANDO, MS",38632
-90.752066,29.6078580000001,542,HOUMA LA,70360
-81.4864259999999,28.3416330000001,5420,"KISSIMMEE, FL",34746
-90.580158,38.778781,5421,ST. PETERS SUTTERS MILL MO,63376
-84.5710979999999,30.889931,5422,"BAINBRIDGE, GA",39819
-115.029009,36.1965010000001,5423,"LAS VEGAS (HOLLYWOOD), NV",89156
-122.813892,42.4691920000001,5424,"EAGLE POINT, OR",97524
-116.955439,33.7678990000001,5425,"SAN JACINTO, CA",92583
-121.985626,37.5202420000001,5426,"FREMONT (W), CA",94538
-90.6260379999999,38.774005,5427,ST. PETERS HOWELL MO,63376
-111.739743,33.3845930000001,5428,"MESA (GREENFIELD), AZ",85206
-112.420708,33.6124390000001,5429,"SURPRISE, AZ",85388
-92.065476,30.520671,543,OPELOUSAS LA,70570
-106.710858,35.0260910000001,5430,"ALBUQUERQUE, NM",87121
-92.540361,45.0992220000001,5432,"NEW RICHMOND, WI",54017
-93.0558359999999,34.632394,5433,"HOT SPRINGS VILLAGE, AR",71909
-122.131586,37.688248,5434,"SAN LEANDRO (S), CA",94579
-121.860431,37.330994,5435,SAN JOSE(CENTRAL) CA,95122
-75.618532,39.733869,5436,"NEW CASTLE, DE EF",19808
-88.104212,43.0145820000001,5438,"NEW BERLIN, WI",53151
-72.876921,41.320072,5439,"NEW HAVEN, CT",06513
-97.425686,35.448543,544,"DEL CITY (MWC), OK",73115
-122.575518,45.4505340000001,5440,CLACKAMAS OR,97086
-95.671781,39.0938580000001,5441,"TOPEKA (N), KS",66617
-88.034013,41.9498130000001,5442,ADDISON IL,60101
-86.085461,39.699603,5443,"INDIANAPOLIS(EMRSN), IN",46203
-90.1271859999999,46.470308,5444,IRONWOOD MI,49938
-80.041162,42.1229910000001,5445,ERIE C PA,16504
-80.126499,39.8939060000001,5446,WAYNESBURG PA,15370
-74.137456,40.747692,5447,KEARNY NJ,07032
-71.085821,41.9351160000001,5448,"RAYNHAM (N), MA",02767
-95.516649,29.536554,5449,"MISSOURI CITY (SIEN), TX",77459
-83.772996,37.1407310000001,545,MANCHESTER KY,40962
-75.951518,39.6100290000001,5450,"NORTH EAST, MD",21901
-81.991903,26.578945,5451,"FORT MYERS-CAPE CORAL,FL",33914
